DATE,UnemploymentRate
2/1/1978,4.657080219065851
3/1/1978,4.337432175469877
4/1/1978,4.191995238853837
5/1/1978,4.26724697523305
6/1/1978,4.290661424525975
7/1/1978,3.9445922056692817
8/1/1978,4.049977434053651
9/1/1978,3.976865035058066
10/1/1978,3.7183426565527125
11/1/1978,3.952795300329741
12/1/1978,3.608637800304445
1/1/1979,3.9719904692505814
2/1/1979,4.3387941219432244
3/1/1979,4.189020154505402
4/1/1979,4.106350715919903
5/1/1979,3.8350028099887963
6/1/1979,3.812980926086109
7/1/1979,3.8085663683878006
8/1/1979,3.670570701923207
9/1/1979,3.7853934868286356
10/1/1979,3.891819110874181
11/1/1979,3.6001388726647816
12/1/1979,3.5702074410765228
1/1/1980,3.8548487644967224
2/1/1980,4.310947973501844
3/1/1980,4.072227176223288
4/1/1980,3.954921431220531
5/1/1980,4.028093099628052
6/1/1980,3.986821406756752
7/1/1980,3.75427899831195
8/1/1980,3.7231292397796616
9/1/1980,3.8667913921002675
10/1/1980,3.5783760945825165
11/1/1980,3.500219777231405
12/1/1980,3.5117093509922177
1/1/1981,3.6548074755231723
2/1/1981,3.9528146046286117
3/1/1981,4.057541627645944
4/1/1981,3.685766266973912
5/1/1981,3.7773311162077867
6/1/1981,3.5827381106048786
7/1/1981,3.647966752526918
8/1/1981,3.8175503298278066
9/1/1981,3.809826262554959
10/1/1981,3.832924580569862
11/1/1981,3.797306422903281
12/1/1981,3.7249774839182783
1/1/1982,3.8903067148165142
2/1/1982,4.650516202440735
3/1/1982,4.586117696198856
4/1/1982,4.353376536456329
5/1/1982,4.4233311379357545
6/1/1982,4.53863140760756
7/1/1982,4.632955150348317
8/1/1982,4.7545009858245075
9/1/1982,5.330560811400339
10/1/1982,5.600071237723281
11/1/1982,5.892574868597267
12/1/1982,6.286944995835736
1/1/1983,6.4693577328934335
2/1/1983,7.467666170820857
3/1/1983,7.58354978393925
4/1/1983,7.479560618060396
5/1/1983,7.606219345521201
6/1/1983,7.448128853613004
7/1/1983,7.3257810275681035
8/1/1983,7.347302068515439
9/1/1983,7.5286986644797995
10/1/1983,7.018687644227395
11/1/1983,6.462934594167764
12/1/1983,6.355269254696078
1/1/1984,6.928031778749514
2/1/1984,7.324185405163891
3/1/1984,7.042924981460115
4/1/1984,6.926654461791603
5/1/1984,6.546789072349793
6/1/1984,6.520358371936864
7/1/1984,6.097347445879303
8/1/1984,6.1693538780516795
9/1/1984,6.354072326054093
10/1/1984,5.945397298874719
11/1/1984,5.632980899388906
12/1/1984,5.669315769878853
1/1/1985,6.1687422505508
2/1/1985,6.4644724423857856
3/1/1985,6.540972460282531
4/1/1985,6.321178698787857
5/1/1985,6.187104275331285
6/1/1985,6.240560336679389
7/1/1985,5.6858191628169275
8/1/1985,5.7320668348794985
9/1/1985,5.766837111099246
10/1/1985,5.423560207966204
11/1/1985,5.384940935646452
12/1/1985,5.240347368718337
1/1/1986,5.505227513114655
2/1/1986,6.365335740219782
3/1/1986,6.23684270847374
4/1/1986,5.81864955167116
5/1/1986,5.796273621760322
6/1/1986,5.576667568679021
7/1/1986,5.7884433178566255
8/1/1986,5.874167310044932
9/1/1986,6.025136390840916
10/1/1986,5.6429462609917795
11/1/1986,5.681926983864755
12/1/1986,5.603121374824125
1/1/1987,6.092920604488828
2/1/1987,6.469916557494763
3/1/1987,6.712464838267774
4/1/1987,6.346686952049847
5/1/1987,6.261537548314874
6/1/1987,5.884279133901189
7/1/1987,5.856150624136488
8/1/1987,5.832034452153791
9/1/1987,5.6548810371422205
10/1/1987,5.598564771706888
11/1/1987,5.433150949828849
12/1/1987,5.296726213081635
1/1/1988,5.53058289744821
2/1/1988,5.821791258484396
3/1/1988,5.809427813338124
4/1/1988,5.8637966307559815
5/1/1988,5.534316732322564
6/1/1988,5.326059072744392
7/1/1988,4.898519212132586
8/1/1988,4.9403584833066105
9/1/1988,5.168793939694789
10/1/1988,4.82923603982096
11/1/1988,4.635681205516853
12/1/1988,4.721157757997254
1/1/1989,5.191823978487368
2/1/1989,5.438830326314381
3/1/1989,4.955804898147719
4/1/1989,4.816187969256539
5/1/1989,4.7652482104851215
6/1/1989,4.486318102634448
7/1/1989,4.41592159574694
8/1/1989,4.301464459757082
9/1/1989,4.545454323153115
10/1/1989,4.057090544662097
11/1/1989,4.0691512256167774
12/1/1989,4.084070230376938
1/1/1990,4.501557214756674
2/1/1990,5.232009982526879
3/1/1990,4.707800056674168
4/1/1990,4.549766221194653
5/1/1990,4.748158565567261
6/1/1990,4.924750930028289
7/1/1990,4.9907958364563
8/1/1990,5.190641596754988
9/1/1990,5.572121666394545
10/1/1990,5.4476145617355005
11/1/1990,5.613450615011251
12/1/1990,5.618703817010521
1/1/1991,6.516405448402592
2/1/1991,7.224577568750536
3/1/1991,7.247945032828829
4/1/1991,7.593423059642833
5/1/1991,7.1814254121819605
6/1/1991,6.9935544180708655
7/1/1991,7.37918799782345
8/1/1991,7.337089355941531
9/1/1991,7.683378743180368
10/1/1991,7.3986010455321125
11/1/1991,7.472240468641289
12/1/1991,7.703934643562407
1/1/1992,8.23752911615788
2/1/1992,8.703820472940427
3/1/1992,8.298601284674382
4/1/1992,8.180777614739549
5/1/1992,8.112616198804613
6/1/1992,8.229234006998352
7/1/1992,8.331519610559807
8/1/1992,8.001962701142014
9/1/1992,8.281589980644835
10/1/1992,8.059419475894936
11/1/1992,8.259179705542092
12/1/1992,8.609632554947346
1/1/1993,9.030875828328044
2/1/1993,9.495992915281255
3/1/1993,8.815108175479933
4/1/1993,8.721626814628861
