Date,Close Price,Open,High,Low,Vol.,Change %
15-Oct-10,4689,"4,691.50","4,696.30","4,660.60",1.02B,-0.21%
18-Oct-10,4651.9,"4,688.80","4,688.80","4,638.70",852.93M,-0.79%
19-Oct-10,4655.7,"4,658.30","4,681.90","4,655.70",1.23B,0.08%
20-Oct-10,4624.9,"4,641.80","4,641.80","4,583.00",1.12B,-0.66%
21-Oct-10,4622.9,"4,636.70","4,661.40","4,622.00",1.15B,-0.04%
22-Oct-10,4648.2,"4,627.50","4,648.20","4,622.30",847.88M,0.55%
25-Oct-10,4710,"4,644.40","4,725.90","4,641.10",868.67M,1.33%
26-Oct-10,4687.8,"4,709.40","4,711.10","4,684.60",908.49M,-0.47%
27-Oct-10,4648.1,"4,684.80","4,698.00","4,641.00",1.39B,-0.85%
28-Oct-10,4684.9,"4,657.00","4,700.70","4,656.30",1.02B,0.79%
29-Oct-10,4661.6,"4,689.30","4,691.70","4,655.60",1.28B,-0.50%
1-Nov-10,4698.5,"4,665.70","4,705.40","4,664.80",753.38M,0.79%
2-Nov-10,4701.4,"4,696.10","4,706.50","4,676.70",651.73M,0.06%
3-Nov-10,4722.6,"4,705.00","4,734.90","4,701.70",761.05M,0.45%
4-Nov-10,4745.3,"4,716.50","4,756.90","4,715.10",987.36M,0.48%
5-Nov-10,4800.6,"4,770.10","4,815.00","4,769.20",1.12B,1.17%
8-Nov-10,4778.4,"4,802.30","4,810.50","4,774.50",916.30M,-0.46%
9-Nov-10,4740.7,"4,769.80","4,775.10","4,731.00",1.27B,-0.79%
10-Nov-10,4699.8,"4,740.90","4,753.80","4,686.10",1.02B,-0.86%
11-Nov-10,4728.6,"4,704.80","4,740.20","4,704.20",1.04B,0.61%
12-Nov-10,4692.7,"4,728.00","4,732.40","4,681.60",1.12B,-0.76%
15-Nov-10,4688,"4,694.60","4,714.20","4,681.30",834.87M,-0.10%
16-Nov-10,4700.3,"4,697.80","4,709.50","4,670.50",1.03B,0.26%
17-Nov-10,4624.3,"4,678.10","4,678.10","4,622.30",1.00B,-1.62%
18-Nov-10,4640.2,"4,624.40","4,644.10","4,612.00",1.13B,0.34%
19-Nov-10,4629.2,"4,650.30","4,673.80","4,615.50",898.07M,-0.24%
22-Nov-10,4643.5,"4,639.20","4,672.00","4,636.70",880.98M,0.31%
23-Nov-10,4589.1,"4,638.90","4,640.20","4,586.80",1.27B,-1.17%
24-Nov-10,4584.7,"4,580.50","4,586.70","4,551.20",1.27B,-0.10%
25-Nov-10,4593.4,"4,595.50","4,607.20","4,583.20",1.28B,0.19%
26-Nov-10,4598.3,"4,599.10","4,616.50","4,594.00",961.01M,0.11%
29-Nov-10,4618.5,"4,594.30","4,623.50","4,557.30",799.39M,0.44%
30-Nov-10,4584.4,"4,616.40","4,616.40","4,584.30",1.14B,-0.74%
1-Dec-10,4586.6,"4,581.40","4,586.80","4,557.00",844.93M,0.05%
2-Dec-10,4676.2,"4,604.70","4,686.00","4,604.10",1.02B,1.95%
3-Dec-10,4694.2,"4,687.90","4,717.10","4,682.30",742.95M,0.38%
6-Dec-10,4688.6,"4,696.30","4,706.80","4,688.00",866.19M,-0.12%
7-Dec-10,4726.8,"4,692.10","4,737.60","4,690.90",1.04B,0.81%
8-Dec-10,4699.9,"4,726.70","4,726.70","4,694.90",953.50M,-0.57%
9-Dec-10,4741.3,"4,702.80","4,747.10","4,702.20",1.10B,0.88%
10-Dec-10,4745.9,"4,739.90","4,750.00","4,732.50",1.10B,0.10%
13-Dec-10,4757.1,"4,750.10","4,775.70","4,749.60",1.02B,0.24%
14-Dec-10,4766.9,"4,760.80","4,773.00","4,755.80",922.46M,0.21%
15-Dec-10,4767.8,"4,766.90","4,781.90","4,757.10",1.08B,0.02%
16-Dec-10,4784,"4,764.70","4,784.30","4,754.70",1.17B,0.34%
17-Dec-10,4763.1,"4,783.70","4,783.70","4,763.10",1.11B,-0.44%
20-Dec-10,4736.6,"4,763.60","4,778.50","4,736.60",-,-0.56%
21-Dec-10,4771.9,"4,742.10","4,782.40","4,741.90",699.80M,0.75%
22-Dec-10,4778.4,"4,776.20","4,786.00","4,768.40",634.84M,0.14%
23-Dec-10,4799,"4,779.60","4,811.90","4,778.30",613.34M,0.43%
24-Dec-10,4777.3,"4,792.50","4,797.10","4,767.10",537.75M,-0.45%
29-Dec-10,4775.2,"4,768.40","4,784.90","4,754.80",553.05M,-0.04%
30-Dec-10,4790.4,"4,777.60","4,799.90","4,776.80",505.13M,0.32%
31-Dec-10,4745.2,"4,787.50","4,787.90","4,745.20",313.24M,-0.94%
4-Jan-11,4742.5,"4,758.30","4,775.00","4,729.50",762.88M,-0.06%
5-Jan-11,4714.9,"4,742.50","4,748.90","4,703.60",914.13M,-0.58%
6-Jan-11,4725,"4,717.70","4,731.60","4,696.20",728.27M,0.21%
7-Jan-11,4705,"4,717.80","4,718.50","4,690.30",785.75M,-0.42%
10-Jan-11,4712.3,"4,702.20","4,714.60","4,686.50",580.90M,0.16%
11-Jan-11,4710.7,"4,709.30","4,714.00","4,692.20",865.99M,-0.03%
12-Jan-11,4724.2,"4,718.80","4,724.20","4,707.50",869.00M,0.29%
13-Jan-11,4795.2,"4,736.90","4,795.20","4,736.60",841.24M,1.50%
14-Jan-11,4801.5,"4,789.40","4,802.80","4,784.30",671.02M,0.13%
17-Jan-11,4763.1,"4,802.70","4,805.80","4,755.00",659.48M,-0.80%
18-Jan-11,4801.8,"4,762.40","4,809.30","4,761.00",764.73M,0.81%
19-Jan-11,4834.6,"4,804.40","4,839.20","4,789.60",904.97M,0.68%
20-Jan-11,4783.7,"4,822.10","4,822.60","4,780.00",971.55M,-1.05%
21-Jan-11,4755.7,"4,777.30","4,795.50","4,740.50",1.10B,-0.59%
24-Jan-11,4786,"4,755.40","4,792.90","4,750.20",817.77M,0.64%
25-Jan-11,4807.8,"4,789.50","4,825.40","4,789.50",826.60M,0.46%
27-Jan-11,4806.1,"4,812.20","4,815.30","4,797.60",984.60M,-0.04%
28-Jan-11,4774.9,"4,803.40","4,805.60","4,755.80",981.62M,-0.65%
31-Jan-11,4753.9,"4,757.90","4,758.10","4,717.60",777.50M,-0.44%
1-Feb-11,4752.1,"4,759.10","4,767.10","4,751.80",993.33M,-0.04%
2-Feb-11,4796.5,"4,768.60","4,807.60","4,768.60",1.08B,0.93%
3-Feb-11,4820.6,"4,803.10","4,824.70","4,792.00",877.08M,0.50%
4-Feb-11,4862.7,"4,826.00","4,870.20","4,825.20",1.04B,0.87%
7-Feb-11,4868.6,"4,860.10","4,869.60","4,859.50",660.64M,0.12%
8-Feb-11,4890.4,"4,876.10","4,892.90","4,875.30",875.13M,0.45%
9-Feb-11,4904.8,"4,900.00","4,931.20","4,899.20",1.06B,0.29%
10-Feb-11,4914.4,"4,901.60","4,915.00","4,901.40",851.02M,0.20%
11-Feb-11,4880.9,"4,909.40","4,909.40","4,880.90",833.91M,-0.68%
14-Feb-11,4935.8,"4,891.60","4,938.20","4,885.10",794.18M,1.12%
15-Feb-11,4931,"4,936.50","4,938.90","4,919.20",743.56M,-0.10%
16-Feb-11,4930.2,"4,924.00","4,939.70","4,918.20",802.10M,-0.02%
17-Feb-11,4938.4,"4,934.00","4,944.40","4,932.40",972.17M,0.17%
18-Feb-11,4936.7,"4,929.00","4,938.80","4,925.00",842.47M,-0.03%
21-Feb-11,4900,"4,923.40","4,924.30","4,881.60",928.13M,-0.74%
22-Feb-11,4856.7,"4,914.20","4,917.10","4,853.00",841.62M,-0.88%
23-Feb-11,4845.9,"4,848.20","4,854.40","4,831.50",1.03B,-0.22%
24-Feb-11,4809.3,"4,839.40","4,839.70","4,803.40",997.31M,-0.76%
25-Feb-11,4836.5,"4,803.50","4,845.90","4,799.20",999.86M,0.57%
28-Feb-11,4831.7,"4,839.70","4,840.40","4,815.40",534.81M,-0.10%
1-Mar-11,4826.4,"4,839.70","4,856.70","4,826.40",1.06B,-0.11%
2-Mar-11,4803.2,"4,817.40","4,817.70","4,779.40",1.17B,-0.48%
3-Mar-11,4806.4,"4,806.40","4,814.00","4,791.40",1.49B,0.07%
4-Mar-11,4864.3,"4,821.50","4,864.30","4,821.20",1.09B,1.20%
7-Mar-11,4797.9,"4,850.70","4,852.40","4,792.30",1.01B,-1.37%
8-Mar-11,4808.2,"4,795.40","4,814.10","4,772.50",1.05B,0.21%
9-Mar-11,4767.8,"4,806.70","4,808.00","4,758.60",911.60M,-0.84%
10-Mar-11,4699.7,"4,761.50","4,773.30","4,697.10",1.25B,-1.43%
11-Mar-11,4644.8,"4,685.90","4,686.70","4,630.70",1.30B,-1.17%
14-Mar-11,4626.4,"4,634.80","4,634.80","4,564.10",1.02B,-0.40%
15-Mar-11,4528.7,"4,624.00","4,626.10","4,479.70",1.32B,-2.11%
16-Mar-11,4558.2,"4,532.70","4,582.20","4,528.30",1.52B,0.65%
17-Mar-11,4555.3,"4,546.60","4,560.90","4,477.40",1.70B,-0.06%
18-Mar-11,4626.4,"4,571.40","4,633.80","4,563.40",1.93B,1.56%
21-Mar-11,4642.8,"4,625.30","4,643.10","4,606.40",890.55M,0.35%
22-Mar-11,4643.4,"4,648.90","4,677.00","4,636.70",898.17M,0.01%
23-Mar-11,4652.4,"4,640.80","4,665.70","4,637.50",820.80M,0.19%
24-Mar-11,4699.6,"4,660.00","4,699.60","4,660.00",811.86M,1.01%
25-Mar-11,4742.6,"4,705.40","4,763.00","4,705.40",1.09B,0.91%
28-Mar-11,4733.6,"4,733.40","4,743.30","4,723.70",658.76M,-0.19%
29-Mar-11,4755.8,"4,730.60","4,758.30","4,721.50",894.28M,0.47%
30-Mar-11,4822.2,"4,763.20","4,839.20","4,763.20",1.02B,1.40%
31-Mar-11,4837.9,"4,828.70","4,845.80","4,813.00",1.12B,0.33%
1-Apr-11,4861.8,"4,836.10","4,878.80","4,836.10",789.46M,0.49%
4-Apr-11,4886.8,"4,868.60","4,902.40","4,868.60",922.24M,0.51%
5-Apr-11,4900.1,"4,892.70","4,905.40","4,891.50",1.02B,0.27%
6-Apr-11,4912.9,"4,898.80","4,913.20","4,890.20",1.01B,0.26%
7-Apr-11,4908.1,"4,914.40","4,924.00","4,899.80",933.78M,-0.10%
8-Apr-11,4940.6,"4,904.00","4,941.60","4,902.10",853.84M,0.66%
11-Apr-11,4971.2,"4,943.30","4,976.40","4,940.70",929.00M,0.62%
12-Apr-11,4898.7,"4,961.10","4,966.50","4,889.70",1.10B,-1.46%
13-Apr-11,4911,"4,886.70","4,919.50","4,876.20",1.11B,0.25%
14-Apr-11,4884.2,"4,897.70","4,902.40","4,860.40",921.87M,-0.55%
15-Apr-11,4852.1,"4,880.70","4,890.20","4,852.10",752.47M,-0.66%
18-Apr-11,4861.9,"4,852.60","4,881.20","4,840.20",751.85M,0.20%
19-Apr-11,4793.3,"4,845.60","4,845.60","4,788.60",835.20M,-1.41%
20-Apr-11,4859,"4,802.10","4,859.00","4,802.10",785.99M,1.37%
21-Apr-11,4913.8,"4,871.50","4,915.50","4,870.30",723.05M,1.13%
27-Apr-11,4872.9,"4,919.30","4,930.60","4,869.70",982.29M,-0.83%
28-Apr-11,4873,"4,877.90","4,910.20","4,871.80",895.03M,0.00%
29-Apr-11,4823.2,"4,875.10","4,875.20","4,794.80",1.18B,-1.02%
2-May-11,4825.3,"4,826.30","4,835.50","4,765.10",904.54M,0.04%
3-May-11,4784.6,"4,811.10","4,811.10","4,769.70",981.54M,-0.84%
4-May-11,4740.1,"4,780.10","4,780.10","4,730.20",1.15B,-0.93%
5-May-11,4753.7,"4,736.10","4,756.30","4,716.90",1.13B,0.29%
6-May-11,4743,"4,734.00","4,761.70","4,713.40",1.15B,-0.23%
9-May-11,4756.8,"4,752.90","4,795.90","4,752.70",796.72M,0.29%
10-May-11,4725.8,"4,761.30","4,782.60","4,725.80",933.42M,-0.65%
11-May-11,4780.2,"4,739.60","4,784.60","4,739.60",947.21M,1.15%
12-May-11,4696.1,"4,755.20","4,755.40","4,696.10",1.01B,-1.76%
13-May-11,4711.4,"4,699.20","4,714.00","4,675.40",830.42M,0.33%
16-May-11,4650,"4,692.50","4,693.10","4,641.40",814.34M,-1.30%
17-May-11,4683.9,"4,658.50","4,685.40","4,650.20",816.10M,0.73%
18-May-11,4693.7,"4,680.80","4,706.30","4,677.60",885.51M,0.21%
19-May-11,4756.4,"4,705.00","4,763.90","4,704.80",1.09B,1.34%
20-May-11,4732.2,"4,744.90","4,745.20","4,726.60",808.19M,-0.51%
23-May-11,4643,"4,720.30","4,720.30","4,643.00",828.38M,-1.88%
24-May-11,4628.8,"4,638.10","4,639.90","4,595.70",988.26M,-0.31%
25-May-11,4584.7,"4,633.50","4,633.50","4,582.70",965.44M,-0.95%
26-May-11,4660.2,"4,600.90","4,660.20","4,600.10",1.14B,1.65%
27-May-11,4684,"4,659.20","4,688.00","4,650.10",868.10M,0.51%
30-May-11,4667.5,"4,684.60","4,685.10","4,660.40",701.51M,-0.35%
31-May-11,4708.3,"4,672.30","4,717.40","4,671.30",1.20B,0.87%
1-Jun-11,4707.3,"4,711.30","4,724.80","4,694.40",893.50M,-0.02%
2-Jun-11,4600.4,"4,687.00","4,687.70","4,591.80",996.56M,-2.27%
3-Jun-11,4583.1,"4,602.30","4,612.80","4,578.00",843.75M,-0.38%
6-Jun-11,4569.1,"4,577.30","4,577.30","4,550.40",722.90M,-0.31%
7-Jun-11,4566.3,"4,560.70","4,576.00","4,531.60",967.81M,-0.06%
8-Jun-11,4536.8,"4,572.30","4,575.50","4,518.10",1.01B,-0.65%
9-Jun-11,4549.6,"4,534.70","4,557.30","4,519.10",1.05B,0.28%
10-Jun-11,4562.1,"4,557.10","4,589.20","4,552.60",777.85M,0.27%
14-Jun-11,4585,"4,549.70","4,593.30","4,511.70",896.68M,0.50%
15-Jun-11,4566.8,"4,584.40","4,588.30","4,553.40",964.68M,-0.40%
16-Jun-11,4479.2,"4,547.50","4,549.00","4,479.10",1.39B,-1.92%
17-Jun-11,4484.9,"4,486.40","4,524.90","4,465.90",1.25B,0.13%
20-Jun-11,4451.7,"4,487.20","4,520.60","4,451.70",888.52M,-0.74%
21-Jun-11,4508.2,"4,465.60","4,509.80","4,464.60",883.99M,1.27%
22-Jun-11,4532.6,"4,523.80","4,565.90","4,523.60",1.03B,0.54%
23-Jun-11,4500.5,"4,526.90","4,540.50","4,500.20",1.10B,-0.71%
24-Jun-11,4508.1,"4,502.10","4,521.50","4,490.20",1.07B,0.17%
27-Jun-11,4461.8,"4,502.10","4,502.40","4,453.70",818.30M,-1.03%
28-Jun-11,4474.3,"4,476.90","4,503.30","4,463.40",957.21M,0.28%
29-Jun-11,4529.5,"4,490.80","4,534.00","4,490.80",847.37M,1.23%
30-Jun-11,4608,"4,536.40","4,609.20","4,536.30",990.31M,1.73%
1-Jul-11,4591.2,"4,612.20","4,622.00","4,577.80",856.44M,-0.36%
4-Jul-11,4610.7,"4,602.70","4,640.10","4,602.70",760.19M,0.42%
5-Jul-11,4598.1,"4,617.90","4,626.80","4,592.20",666.48M,-0.27%
6-Jul-11,4605,"4,601.60","4,614.20","4,582.50",785.87M,0.15%
7-Jul-11,4605.5,"4,601.80","4,617.20","4,584.50",682.44M,0.01%
8-Jul-11,4654.7,"4,615.30","4,657.40","4,615.20",874.41M,1.07%
11-Jul-11,4582.3,"4,641.50","4,641.50","4,579.70",779.86M,-1.56%
12-Jul-11,4495.4,"4,570.90","4,571.00","4,491.70",967.39M,-1.90%
13-Jul-11,4514.8,"4,499.40","4,528.30","4,487.00",849.08M,0.43%
14-Jul-11,4490.7,"4,515.20","4,515.20","4,464.90",860.39M,-0.53%
15-Jul-11,4473.5,"4,474.80","4,484.10","4,454.30",849.81M,-0.38%
18-Jul-11,4472,"4,473.10","4,477.60","4,450.60",846.57M,-0.03%
19-Jul-11,4468.1,"4,461.20","4,480.90","4,445.00",872.30M,-0.09%
20-Jul-11,4549.7,"4,486.00","4,549.70","4,485.10",988.82M,1.83%
21-Jul-11,4556,"4,551.30","4,576.10","4,551.30",899.86M,0.14%
22-Jul-11,4602.9,"4,565.30","4,612.20","4,565.30",989.30M,1.03%
25-Jul-11,4530.4,"4,595.30","4,595.40","4,529.20",1.06B,-1.58%
26-Jul-11,4573.3,"4,536.30","4,582.70","4,536.20",912.65M,0.95%
27-Jul-11,4537.4,"4,564.60","4,570.50","4,536.60",978.60M,-0.78%
28-Jul-11,4463.8,"4,517.90","4,518.10","4,463.80",1.03B,-1.62%
29-Jul-11,4424.6,"4,466.50","4,468.80","4,421.10",1.06B,-0.88%
1-Aug-11,4497.8,"4,440.90","4,517.40","4,439.80",662.82M,1.65%
2-Aug-11,4433.6,"4,479.30","4,479.50","4,428.70",794.68M,-1.43%
3-Aug-11,4332.8,"4,404.10","4,404.10","4,326.30",1.10B,-2.27%
4-Aug-11,4276.5,"4,337.50","4,359.50","4,276.20",1.19B,-1.30%
5-Aug-11,4105.4,"4,222.90","4,222.90","4,087.70",1.81B,-4.00%
8-Aug-11,3986.1,"4,078.60","4,079.90","3,982.80",1.50B,-2.91%
9-Aug-11,4034.8,"3,948.80","4,044.10","3,765.90",2.00B,1.22%
10-Aug-11,4141.3,"4,073.10","4,162.00","4,073.10",1.50B,2.64%
11-Aug-11,4140.8,"4,107.50","4,167.40","4,058.40",1.31B,-0.01%
12-Aug-11,4172.6,"4,155.90","4,216.10","4,151.60",1.22B,0.77%
15-Aug-11,4282.9,"4,193.50","4,282.90","4,189.40",964.82M,2.64%
16-Aug-11,4247.3,"4,285.00","4,298.90","4,238.50",1.07B,-0.83%
17-Aug-11,4303.9,"4,250.20","4,324.70","4,246.80",1.01B,1.33%
18-Aug-11,4251.2,"4,301.60","4,305.60","4,243.00",991.47M,-1.22%
19-Aug-11,4101.9,"4,209.70","4,211.40","4,099.40",1.13B,-3.51%
22-Aug-11,4082.3,"4,099.00","4,160.90","4,075.10",1.19B,-0.48%
23-Aug-11,4173.4,"4,085.50","4,173.40","4,085.50",1.17B,2.23%
24-Aug-11,4167.6,"4,186.50","4,238.60","4,160.40",973.27M,-0.14%
25-Aug-11,4212.8,"4,182.70","4,233.40","4,182.60",1.07B,1.08%
26-Aug-11,4200,"4,206.70","4,229.00","4,197.80",1.06B,-0.30%
29-Aug-11,4263.3,"4,209.50","4,284.60","4,209.50",878.12M,1.51%
30-Aug-11,4269.2,"4,275.00","4,308.00","4,262.80",1.01B,0.14%
31-Aug-11,4296.5,"4,269.20","4,296.50","4,254.10",1.03B,0.64%
1-Sep-11,4307.5,"4,297.90","4,354.60","4,297.90",1.17B,0.26%
2-Sep-11,4242.9,"4,295.20","4,295.20","4,225.90",809.56M,-1.50%
5-Sep-11,4141.9,"4,221.20","4,222.10","4,135.90",824.74M,-2.38%
6-Sep-11,4075.5,"4,122.70","4,122.70","4,072.70",1.01B,-1.60%
7-Sep-11,4183.4,"4,097.50","4,183.40","4,097.50",944.84M,2.65%
8-Sep-11,4188,"4,196.20","4,218.90","4,161.20",1.03B,0.11%
9-Sep-11,4194.7,"4,186.10","4,232.00","4,182.40",728.15M,0.16%
12-Sep-11,4038.5,"4,169.30","4,170.00","4,038.50",863.28M,-3.72%
13-Sep-11,4072.7,"4,052.30","4,094.20","4,050.80",1.06B,0.85%
14-Sep-11,4005.8,"4,076.70","4,110.00","3,997.60",1.09B,-1.64%
15-Sep-11,4071.7,"4,030.80","4,101.30","4,026.30",1.25B,1.65%
16-Sep-11,4149.4,"4,085.30","4,160.00","4,085.30",1.08B,1.91%
19-Sep-11,4081.5,"4,140.10","4,141.40","4,070.50",654.77M,-1.64%
20-Sep-11,4040.2,"4,077.20","4,083.80","4,029.20",732.95M,-1.01%
21-Sep-11,4071.8,"4,049.90","4,073.50","4,026.10",970.88M,0.78%
22-Sep-11,3964.9,"4,044.60","4,044.60","3,953.60",1.32B,-2.63%
23-Sep-11,3903.2,"3,944.90","3,968.30","3,882.20",1.44B,-1.56%
26-Sep-11,3863.9,"3,917.80","3,956.40","3,862.40",1.15B,-1.01%
27-Sep-11,4004.6,"3,890.20","4,004.60","3,888.10",1.38B,3.64%
28-Sep-11,4039.5,"4,012.10","4,053.80","4,009.40",1.39B,0.87%
29-Sep-11,4008.3,"4,021.80","4,024.00","3,965.20",1.07B,-0.77%
30-Sep-11,4008.6,"4,014.80","4,035.30","3,980.50",2.28B,0.01%
3-Oct-11,3897,"3,990.60","3,991.40","3,893.10",584.43M,-2.78%
4-Oct-11,3872.1,"3,891.60","3,904.10","3,840.20",1.13B,-0.64%
5-Oct-11,3926.5,"3,897.00","3,951.80","3,888.70",1.03B,1.40%
6-Oct-11,4069.9,"3,942.90","4,069.90","3,942.90",1.15B,3.65%
7-Oct-11,4162.9,"4,083.30","4,182.00","4,083.20",1.30B,2.29%
10-Oct-11,4201,"4,157.00","4,216.00","4,146.90",832.52M,0.92%
11-Oct-11,4227.6,"4,215.10","4,245.40","4,204.40",863.82M,0.63%
12-Oct-11,4204.3,"4,214.50","4,214.80","4,167.80",856.19M,-0.55%
13-Oct-11,4244.5,"4,216.60","4,256.10","4,206.40",978.04M,0.96%
14-Oct-11,4205.6,"4,232.80","4,232.80","4,196.20",609.29M,-0.92%
17-Oct-11,4275.4,"4,221.70","4,287.70","4,220.90",613.60M,1.66%
18-Oct-11,4186.9,"4,254.90","4,254.90","4,186.50",713.76M,-2.07%
19-Oct-11,4213.7,"4,196.00","4,232.60","4,194.00",823.53M,0.64%
20-Oct-11,4144.9,"4,201.10","4,201.40","4,135.40",774.85M,-1.63%
21-Oct-11,4141.9,"4,145.70","4,168.60","4,131.90",692.64M,-0.07%
24-Oct-11,4255,"4,155.20","4,265.40","4,155.00",648.14M,2.73%
25-Oct-11,4227.9,"4,268.40","4,268.40","4,212.30",786.07M,-0.64%
26-Oct-11,4242.5,"4,213.10","4,257.90","4,173.50",784.45M,0.35%
27-Oct-11,4348.2,"4,247.40","4,353.00","4,242.20",676.60M,2.49%
28-Oct-11,4353.3,"4,366.40","4,417.60","4,339.60",1.10B,0.12%
31-Oct-11,4298.1,"4,348.90","4,358.20","4,298.10",789.14M,-1.27%
1-Nov-11,4232.9,"4,278.10","4,278.40","4,232.50",576.37M,-1.52%
2-Nov-11,4184.6,"4,216.10","4,217.00","4,141.30",847.68M,-1.14%
3-Nov-11,4171.8,"4,192.30","4,212.10","4,145.20",787.75M,-0.31%
4-Nov-11,4281.1,"4,200.60","4,282.50","4,200.60",755.35M,2.62%
7-Nov-11,4273.4,"4,281.90","4,288.00","4,252.30",501.35M,-0.18%
8-Nov-11,4293.8,"4,282.50","4,301.50","4,274.10",581.64M,0.48%
9-Nov-11,4346.1,"4,311.10","4,365.00","4,311.10",737.55M,1.22%
10-Nov-11,4244.1,"4,306.10","4,306.10","4,205.00",1.17B,-2.35%
11-Nov-11,4296.5,"4,245.30","4,296.50","4,244.30",715.02M,1.23%
14-Nov-11,4304.6,"4,310.50","4,363.10","4,304.60",604.12M,0.19%
15-Nov-11,4285.6,"4,299.70","4,303.00","4,276.50",692.46M,-0.44%
16-Nov-11,4247.4,"4,291.30","4,307.50","4,247.40",640.72M,-0.89%
17-Nov-11,4258.2,"4,246.30","4,277.70","4,227.00",684.63M,0.25%
18-Nov-11,4177,"4,238.20","4,239.10","4,172.60",667.26M,-1.91%
21-Nov-11,4163,"4,172.10","4,181.40","4,140.40",653.18M,-0.34%
22-Nov-11,4133,"4,147.10","4,152.60","4,093.90",894.17M,-0.72%
23-Nov-11,4051,"4,125.10","4,126.00","4,051.00",804.21M,-1.98%
24-Nov-11,4044.2,"4,049.40","4,072.60","4,029.50",1.13B,-0.17%
25-Nov-11,3984.3,"4,042.90","4,042.90","3,973.80",857.10M,-1.48%
28-Nov-11,4058.2,"3,997.10","4,072.20","3,996.80",792.87M,1.85%
29-Nov-11,4102.1,"4,065.20","4,102.10","4,040.40",844.70M,1.08%
30-Nov-11,4119.8,"4,098.10","4,119.80","4,078.90",1.22B,0.43%
1-Dec-11,4228.6,"4,157.50","4,240.40","4,157.50",1.04B,2.64%
2-Dec-11,4288,"4,225.30","4,288.00","4,225.30",988.93M,1.40%
5-Dec-11,4321.3,"4,292.80","4,335.20","4,292.80",883.93M,0.78%
6-Dec-11,4262,"4,317.00","4,317.90","4,257.20",738.53M,-1.37%
7-Dec-11,4292.5,"4,272.60","4,316.30","4,272.50",660.99M,0.72%
8-Dec-11,4280.7,"4,288.80","4,290.90","4,271.30",808.66M,-0.27%
9-Dec-11,4203,"4,259.60","4,260.20","4,186.10",747.16M,-1.82%
12-Dec-11,4252.8,"4,222.30","4,271.90","4,221.90",660.74M,1.18%
13-Dec-11,4193.4,"4,235.60","4,235.60","4,181.20",741.92M,-1.40%
14-Dec-11,4190.5,"4,184.50","4,202.10","4,168.10",741.08M,-0.07%
15-Dec-11,4139.8,"4,179.40","4,179.40","4,115.20",1.10B,-1.21%
16-Dec-11,4159.2,"4,141.80","4,166.10","4,140.00",953.62M,0.47%
19-Dec-11,4060.4,"4,148.00","4,148.20","4,058.80",836.29M,-2.38%
20-Dec-11,4053.1,"4,060.60","4,076.30","4,050.30",686.67M,-0.18%
21-Dec-11,4139.5,"4,074.00","4,147.40","4,073.90",681.73M,2.13%
22-Dec-11,4090.8,"4,133.50","4,134.20","4,084.80",612.93M,-1.18%
23-Dec-11,4140.4,"4,103.00","4,140.40","4,103.00",443.22M,1.21%
28-Dec-11,4088.8,"4,139.40","4,142.60","4,086.20",343.46M,-1.25%
29-Dec-11,4071.1,"4,081.80","4,081.80","4,038.10",399.53M,-0.43%
30-Dec-11,4056.6,"4,076.90","4,088.70","4,054.80",266.40M,-0.36%
3-Jan-12,4101.2,"4,069.90","4,108.10","4,069.10",314.43M,1.10%
4-Jan-12,4187.8,"4,124.10","4,202.40","4,123.90",664.78M,2.11%
5-Jan-12,4142.7,"4,179.40","4,179.40","4,131.70",540.67M,-1.08%
6-Jan-12,4108.5,"4,140.30","4,144.10","4,107.80",537.34M,-0.83%
9-Jan-12,4105.4,"4,115.40","4,129.00","4,088.70",535.56M,-0.08%
10-Jan-12,4152.2,"4,114.20","4,154.30","4,114.20",631.75M,1.14%
11-Jan-12,4187.5,"4,160.90","4,202.30","4,160.90",656.91M,0.85%
12-Jan-12,4181,"4,190.50","4,196.50","4,167.10",612.44M,-0.16%
13-Jan-12,4195.9,"4,190.40","4,203.60","4,185.30",614.49M,0.36%
16-Jan-12,4147.2,"4,183.40","4,184.90","4,138.50",530.88M,-1.16%
17-Jan-12,4215.6,"4,159.60","4,215.60","4,158.80",727.07M,1.65%
18-Jan-12,4217.9,"4,216.80","4,228.70","4,200.60",794.32M,0.05%
19-Jan-12,4214.8,"4,228.20","4,258.40","4,214.80",818.24M,-0.07%
20-Jan-12,4239.6,"4,222.20","4,250.60","4,220.10",823.25M,0.59%
23-Jan-12,4225.1,"4,236.30","4,238.60","4,223.90",507.74M,-0.34%
24-Jan-12,4224.2,"4,228.40","4,249.40","4,218.40",566.79M,-0.02%
25-Jan-12,4271.3,"4,227.70","4,271.50","4,227.30",785.77M,1.11%
27-Jan-12,4288.4,"4,276.70","4,315.60","4,276.70",708.50M,0.40%
30-Jan-12,4272.7,"4,286.70","4,294.70","4,264.50",605.38M,-0.37%
31-Jan-12,4262.7,"4,270.70","4,287.40","4,261.10",752.09M,-0.23%
1-Feb-12,4225.7,"4,258.90","4,264.40","4,225.70",946.74M,-0.87%
2-Feb-12,4267.8,"4,242.50","4,284.80","4,241.10",838.86M,1.00%
3-Feb-12,4251.2,"4,271.60","4,275.50","4,248.90",736.05M,-0.39%
6-Feb-12,4296,"4,267.00","4,310.50","4,265.80",712.55M,1.05%
7-Feb-12,4274.2,"4,290.50","4,312.00","4,269.30",796.70M,-0.51%
